Date,Product,Sales
2009-11,Smartwatches,11
2009-12,Smartphones,705
2009-12,Laptops,414
2009-12,Headphones,492
2009-12,Tablets,100
2009-12,Smartwatches,12
2010-01,Smartphones,576
2010-01,Laptops,352
2010-01,Headphones,436
2010-01,Tablets,120
2010-01,Smartwatches,10
2010-02,Smartphones,629
2010-02,Laptops,349
2010-02,Headphones,448
2010-02,Tablets,111
2010-02,Smartwatches,9
2010-03,Smartphones,582
2010-03,Laptops,300
2010-03,Headphones,429
2010-03,Tablets,109
2010-03,Smartwatches,10
2010-04,Smartphones,556
2010-04,Laptops,400
2010-04,Headphones,465
2010-04,Tablets,109
2010-04,Smartwatches,10
2010-05,Smartphones,618
2010-05,Laptops,311
2010-05,Headphones,460
2010-05,Tablets,112
2010-05,Smartwatches,10
2010-06,Smartphones,600
2010-06,Laptops,297
2010-06,Headphones,402
2010-06,Tablets,112
2010-06,Smartwatches,10
2010-07,Smartphones,589
2010-07,Laptops,318
2010-07,Headphones,453
2010-07,Tablets,109
2010-07,Smartwatches,9
2010-08,Smartphones,538
2010-08,Laptops,415
2010-08,Headphones,464
2010-08,Tablets,130
2010-08,Smartwatches,10
2010-09,Smartphones,577
2010-09,Laptops,356
2010-09,Headphones,446
2010-09,Tablets,154
2010-09,Smartwatches,10
2010-10,Smartphones,575
2010-10,Laptops,315
2010-10,Headphones,452
2010-10,Tablets,111
2010-10,Smartwatches,9
2010-11,Smartphones,684
2010-11,Laptops,358
2010-11,Headphones,530
2010-11,Tablets,140
2010-11,Smartwatches,11
2010-12,Smartphones,750
2010-12,Laptops,346
2010-12,Headphones,530
2010-12,Tablets,133
2010-12,Smartwatches,11
2011-01,Smartphones,592
2011-01,Laptops,318
2011-01,Headphones,453
2011-01,Tablets,120
2011-01,Smartwatches,10
2011-02,Smartphones,626
2011-02,Laptops,346
2011-02,Headphones,460
2011-02,Tablets,112
2011-02,Smartwatches,10
2011-03,Smartphones,572
2011-03,Laptops,343
2011-03,Headphones,413
2011-03,Tablets,137
2011-03,Smartwatches,10
2011-04,Smartphones,601
2011-04,Laptops,294
2011-04,Headphones,454
2011-04,Tablets,124
2011-04,Smartwatches,10
2011-05,Smartphones,607
2011-05,Laptops,283
2011-05,Headphones,446
2011-05,Tablets,125
2011-05,Smartwatches,10
2011-06,Smartphones,620
2011-06,Laptops,377
2011-06,Headphones,532
2011-06,Tablets,118
2011-06,Smartwatches,9
2011-07,Smartphones,573
2011-07,Laptops,357
2011-07,Headphones,473
2011-07,Tablets,132
2011-07,Smartwatches,10
2011-08,Smartphones,611
2011-08,Laptops,393
2011-08,Headphones,496
2011-08,Tablets,131
2011-08,Smartwatches,9
2011-09,Smartphones,576
2011-09,Laptops,408
2011-09,Headphones,468
2011-09,Tablets,148
2011-09,Smartwatches,10
2011-10,Smartphones,589
2011-10,Laptops,352
2011-10,Headphones,446
2011-10,Tablets,109
2011-10,Smartwatches,9
2011-11,Smartphones,811
2011-11,Laptops,406
2011-11,Headphones,536
2011-11,Tablets,137
2011-11,Smartwatches,12
2011-12,Smartphones,699
2011-12,Laptops,353
2011-12,Headphones,540
2011-12,Tablets,121
2011-12,Smartwatches,13
2012-01,Smartphones,696
2012-01,Laptops,380
2012-01,Headphones,501
2012-01,Tablets,123
2012-01,Smartwatches,9
2012-02,Smartphones,633
2012-02,Laptops,341
2012-02,Headphones,448
2012-02,Tablets,133
2012-02,Smartwatches,9
2012-03,Smartphones,584
2012-03,Laptops,318
2012-03,Headphones,463
2012-03,Tablets,128
2012-03,Smartwatches,9
2012-04,Smartphones,625
2012-04,Laptops,308
2012-04,Headphones,512
2012-04,Tablets,118
2012-04,Smartwatches,9
2012-05,Smartphones,616
2012-05,Laptops,378
2012-05,Headphones,459
2012-05,Tablets,135
2012-05,Smartwatches,9
2012-06,Smartphones,622
2012-06,Laptops,364
2012-06,Headphones,509
2012-06,Tablets,111
2012-06,Smartwatches,10
2012-07,Smartphones,595
2012-07,Laptops,307
2012-07,Headphones,504
2012-07,Tablets,131
2012-07,Smartwatches,10
2012-08,Smartphones,629
2012-08,Laptops,337
2012-08,Headphones,440
2012-08,Tablets,145
2012-08,Smartwatches,9
2012-09,Smartphones,603
2012-09,Laptops,403
2012-09,Headphones,442
2012-09,Tablets,125
2012-09,Smartwatches,11
2012-10,Smartphones,601
2012-10,Laptops,335
2012-10,Headphones,457
2012-10,Tablets,123
2012-10,Smartwatches,10
2012-11,Smartphones,644
2012-11,Laptops,368
2012-11,Headphones,577
2012-11,Tablets,149
2012-11,Smartwatches,12
2012-12,Smartphones,709
2012-12,Laptops,437
2012-12,Headphones,596
2012-12,Tablets,152
2012-12,Smartwatches,11
2013-01,Smartphones,617
2013-01,Laptops,322
2013-01,Headphones,565
2013-01,Tablets,120
2013-01,Smartwatches,10
2013-02,Smartphones,575
2013-02,Laptops,317
2013-02,Headphones,523
2013-02,Tablets,124
2013-02,Smartwatches,9
2013-03,Smartphones,617
2013-03,Laptops,327
2013-03,Headphones,504
2013-03,Tablets,134
2013-03,Smartwatches,10
2013-04,Smartphones,615
2013-04,Laptops,367
2013-04,Headphones,522
2013-04,Tablets,109
2013-04,Smartwatches,9
2013-05,Smartphones,674
2013-05,Laptops,345
2013-05,Headphones,528
2013-05,Tablets,136
2013-05,Smartwatches,10
2013-06,Smartphones,647
2013-06,Laptops,304
2013-06,Headphones,518
2013-06,Tablets,153
2013-06,Smartwatches,10
2013-07,Smartphones,690
2013-07,Laptops,311
2013-07,Headphones,490
2013-07,Tablets,136
2013-07,Smartwatches,10
2013-08,Smartphones,661
2013-08,Laptops,389
2013-08,Headphones,493
2013-08,Tablets,130
2013-08,Smartwatches,10
2013-09,Smartphones,610
2013-09,Laptops,378
2013-09,Headphones,529
2013-09,Tablets,149
2013-09,Smartwatches,9
2013-10,Smartphones,627
2013-10,Laptops,357
2013-10,Headphones,531
2013-10,Tablets,127
2013-10,Smartwatches,8
2013-11,Smartphones,816
2013-11,Laptops,465
2013-11,Headphones,627
2013-11,Tablets,143
2013-11,Smartwatches,11
2013-12,Smartphones,727
2013-12,Laptops,414
2013-12,Headphones,583
2013-12,Tablets,155
2013-12,Smartwatches,10
2014-01,Smartphones,637
2014-01,Laptops,339
2014-01,Headphones,497
2014-01,Tablets,141
2014-01,Smartwatches,10
2014-02,Smartphones,608
2014-02,Laptops,347
2014-02,Headphones,507
2014-02,Tablets,134
2014-02,Smartwatches,10
2014-03,Smartphones,600
2014-03,Laptops,345
2014-03,Headphones,494
2014-03,Tablets,148
2014-03,Smartwatches,9
2014-04,Smartphones,628
2014-04,Laptops,319
2014-04,Headphones,485
2014-04,Tablets,109
2014-04,Smartwatches,10
2014-05,Smartphones,635
2014-05,Laptops,347
2014-05,Headphones,446
2014-05,Tablets,115
2014-05,Smartwatches,8
2014-06,Smartphones,655
2014-06,Laptops,340
2014-06,Headphones,511
2014-06,Tablets,144
2014-06,Smartwatches,11
2014-07,Smartphones,668
2014-07,Laptops,321
2014-07,Headphones,495
2014-07,Tablets,138
2014-07,Smartwatches,10
2014-08,Smartphones,628
2014-08,Laptops,408
2014-08,Headphones,512
2014-08,Tablets,161
2014-08,Smartwatches,10
2014-09,Smartphones,666
2014-09,Laptops,469
2014-09,Headphones,472
2014-09,Tablets,144
2014-09,Smartwatches,9
2014-10,Smartphones,621
2014-10,Laptops,339
2014-10,Headphones,503
2014-10,Tablets,124
2014-10,Smartwatches,9
2014-11,Smartphones,723
2014-11,Laptops,462
2014-11,Headphones,609
2014-11,Tablets,155
2014-11,Smartwatches,11
2014-12,Smartphones,754
2014-12,Laptops,421
2014-12,Headphones,599
2014-12,Tablets,158
2014-12,Smartwatches,12
2015-01,Smartphones,643
2015-01,Laptops,403
2015-01,Headphones,504
2015-01,Tablets,134
2015-01,Smartwatches,186
2015-02,Smartphones,731
2015-02,Laptops,333
2015-02,Headphones,482
2015-02,Tablets,138
2015-02,Smartwatches,189
2015-03,Smartphones,642
2015-03,Laptops,329
2015-03,Headphones,461
2015-03,Tablets,120
2015-03,Smartwatches,209
2015-04,Smartphones,678
2015-04,Laptops,361
2015-04,Headphones,507
2015-04,Tablets,147
2015-04,Smartwatches,171
2015-05,Smartphones,631
2015-05,Laptops,379
2015-05,Headphones,489
2015-05,Tablets,136
2015-05,Smartwatches,209
2015-06,Smartphones,627
2015-06,Laptops,354
2015-06,Headphones,507
2015-06,Tablets,151
2015-06,Smartwatches,189
2015-07,Smartphones,677
2015-07,Laptops,360
2015-07,Headphones,510
2015-07,Tablets,118
2015-07,Smartwatches,170
2015-08,Smartphones,743
2015-08,Laptops,436
2015-08,Headphones,490
2015-08,Tablets,158
2015-08,Smartwatches,208
2015-09,Smartphones,694
2015-09,Laptops,434
2015-09,Headphones,546
2015-09,Tablets,137
2015-09,Smartwatches,215
2015-10,Smartphones,645
2015-10,Laptops,397
2015-10,Headphones,508
2015-10,Tablets,140
2015-10,Smartwatches,188
2015-11,Smartphones,835
2015-11,Laptops,441
2015-11,Headphones,620
2015-11,Tablets,180
2015-11,Smartwatches,268
2015-12,Smartphones,799
2015-12,Laptops,508
2015-12,Headphones,576
2015-12,Tablets,149
2015-12,Smartwatches,232
2016-01,Smartphones,700
2016-01,Laptops,347
2016-01,Headphones,520
2016-01,Tablets,126
2016-01,Smartwatches,181
2016-02,Smartphones,736
2016-02,Laptops,342
2016-02,Headphones,520
2016-02,Tablets,153
2016-02,Smartwatches,220
2016-03,Smartphones,653
2016-03,Laptops,383
2016-03,Headphones,505
2016-03,Tablets,116
2016-03,Smartwatches,217
2016-04,Smartphones,695
2016-04,Laptops,346
2016-04,Headphones,529
2016-04,Tablets,128
2016-04,Smartwatches,223
2016-05,Smartphones,697
2016-05,Laptops,383
2016-05,Headphones,506
2016-05,Tablets,121
2016-05,Smartwatches,188
2016-06,Smartphones,658
2016-06,Laptops,325
2016-06,Headphones,554
2016-06,Tablets,134
2016-06,Smartwatches,198
2016-07,Smartphones,681
2016-07,Laptops,375
2016-07,Headphones,575
2016-07,Tablets,124
2016-07,Smartwatches,208
2016-08,Smartphones,730
2016-08,Laptops,404
2016-08,Headphones,540
2016-08,Tablets,130
2016-08,Smartwatches,192
2016-09,Smartphones,648
2016-09,Laptops,466
2016-09,Headphones,540
2016-09,Tablets,152
2016-09,Smartwatches,216
2016-10,Smartphones,645
2016-10,Laptops,360
2016-10,Headphones,531
2016-10,Tablets,125
2016-10,Smartwatches,190
2016-11,Smartphones,806
2016-11,Laptops,485
2016-11,Headphones,648
2016-11,Tablets,159
2016-11,Smartwatches,264
2016-12,Smartphones,880
2016-12,Laptops,425
2016-12,Headphones,594
2016-12,Tablets,158
2016-12,Smartwatches,237
2017-01,Smartphones,729
2017-01,Laptops,415
2017-01,Headphones,542
2017-01,Tablets,134
2017-01,Smartwatches,207
2017-02,Smartphones,737
2017-02,Laptops,347
2017-02,Headphones,513
2017-02,Tablets,146
2017-02,Smartwatches,193
2017-03,Smartphones,655
2017-03,Laptops,375
2017-03,Headphones,491
2017-03,Tablets,163
2017-03,Smartwatches,200
2017-04,Smartphones,655
2017-04,Laptops,352
2017-04,Headphones,563
2017-04,Tablets,134
2017-04,Smartwatches,196
2017-05,Smartphones,650
2017-05,Laptops,384
2017-05,Headphones,528
2017-05,Tablets,142
2017-05,Smartwatches,198
2017-06,Smartphones,746
2017-06,Laptops,400
2017-06,Headphones,529
2017-06,Tablets,142
2017-06,Smartwatches,206
2017-07,Smartphones,744
2017-07,Laptops,412
2017-07,Headphones,566
2017-07,Tablets,165
2017-07,Smartwatches,226
2017-08,Smartphones,718
2017-08,Laptops,499
2017-08,Headphones,519
2017-08,Tablets,151
2017-08,Smartwatches,206
2017-09,Smartphones,705
2017-09,Laptops,475
2017-09,Headphones,524
2017-09,Tablets,172
2017-09,Smartwatches,211
2017-10,Smartphones,709
2017-10,Laptops,391
2017-10,Headphones,492
2017-10,Tablets,162
2017-10,Smartwatches,222
2017-11,Smartphones,883
2017-11,Laptops,409
2017-11,Headphones,698
2017-11,Tablets,151
2017-11,Smartwatches,244
2017-12,Smartphones,755
2017-12,Laptops,498
2017-12,Headphones,661
2017-12,Tablets,164
2017-12,Smartwatches,254
2018-01,Smartphones,699
2018-01,Laptops,405
2018-01,Headphones,618
2018-01,Tablets,158
2018-01,Smartwatches,220
2018-02,Smartphones,720
2018-02,Laptops,417
2018-02,Headphones,526
2018-02,Tablets,154
2018-02,Smartwatches,193
2018-03,Smartphones,906
2018-03,Laptops,407
2018-03,Headphones,571
2018-03,Tablets,136
2018-03,Smartwatches,241
2018-04,Smartphones,729
2018-04,Laptops,403
2018-04,Headphones,569
2018-04,Tablets,135
2018-04,Smartwatches,226
2018-05,Smartphones,716
2018-05,Laptops,417
2018-05,Headphones,523
2018-05,Tablets,161
2018-05,Smartwatches,220
2018-06,Smartphones,699
2018-06,Laptops,392
2018-06,Headphones,555
2018-06,Tablets,138
2018-06,Smartwatches,226
2018-07,Smartphones,706
2018-07,Laptops,421
2018-07,Headphones,508
2018-07,Tablets,154
2018-07,Smartwatches,242
2018-08,Smartphones,725
2018-08,Laptops,491
2018-08,Headphones,538
2018-08,Tablets,183
2018-08,Smartwatches,248
2018-09,Smartphones,796
2018-09,Laptops,450
2018-09,Headphones,519
2018-09,Tablets,168
2018-09,Smartwatches,230
2018-10,Smartphones,764
2018-10,Laptops,436
2018-10,Headphones,516
2018-10,Tablets,144
2018-10,Smartwatches,215
2018-11,Smartphones,890
2018-11,Laptops,448
2018-11,Headphones,666
2018-11,Tablets,193
2018-11,Smartwatches,241
2018-12,Smartphones,884
2018-12,Laptops,414
2018-12,Headphones,675
2018-12,Tablets,177
2018-12,Smartwatches,247
2019-01,Smartphones,805
2019-01,Laptops,390
2019-01,Headphones,568
2019-01,Tablets,144
2019-01,Smartwatches,223
2019-02,Smartphones,766
2019-02,Laptops,433
2019-02,Headphones,528
2019-02,Tablets,158
2019-02,Smartwatches,228
2019-03,Smartphones,718
2019-03,Laptops,376
2019-03,Headphones,557
2019-03,Tablets,145
2019-03,Smartwatches,243
2019-04,Smartphones,791
2019-04,Laptops,405
2019-04,Headphones,579
2019-04,Tablets,159
2019-04,Smartwatches,233
2019-05,Smartphones,687
2019-05,Laptops,384
2019-05,Headphones,581
2019-05,Tablets,152
2019-05,Smartwatches,243
2019-06,Smartphones,767
2019-06,Laptops,378
2019-06,Headphones,536
2019-06,Tablets,157
2019-06,Smartwatches,240
2019-07,Smartphones,737
2019-07,Laptops,410
2019-07,Headphones,565
2019-07,Tablets,159
2019-07,Smartwatches,237
2019-08,Smartphones,746
2019-08,Laptops,424
2019-08,Headphones,585
2019-08,Tablets,173
2019-08,Smartwatches,250
2019-09,Smartphones,719
2019-09,Laptops,449
2019-09,Headphones,614
2019-09,Tablets,165
2019-09,Smartwatches,243
2019-10,Smartphones,832
2019-10,Laptops,394
2019-10,Headphones,581
2019-10,Tablets,162
2019-10,Smartwatches,231
2019-11,Smartphones,898
2019-11,Laptops,467
2019-11,Headphones,613
2019-11,Tablets,194
2019-11,Smartwatches,249
2019-12,Smartphones,937
2019-12,Laptops,462
2019-12,Headphones,644
2019-12,Tablets,183
2019-12,Smartwatches,272
2020-01,Smartphones,837
2020-01,Laptops,395
2020-01,Headphones,608
2020-01,Tablets,140
2020-01,Smartwatches,251
2020-02,Smartphones,762
2020-02,Laptops,391
2020-02,Headphones,589
2020-02,Tablets,159
2020-02,Smartwatches,239
2020-03,Smartphones,767
2020-03,Laptops,477
2020-03,Headphones,615
2020-03,Tablets,146
2020-03,Smartwatches,228
2020-04,Smartphones,783
2020-04,Laptops,355
2020-04,Headphones,633
2020-04,Tablets,155
2020-04,Smartwatches,243
2020-05,Smartphones,722
2020-05,Laptops,342
2020-05,Headphones,562
2020-05,Tablets,153
2020-05,Smartwatches,249
2020-06,Smartphones,765
2020-06,Laptops,424
2020-06,Headphones,507
2020-06,Tablets,166
2020-06,Smartwatches,227
2020-07,Smartphones,854
2020-07,Laptops,404
2020-07,Headphones,604
2020-07,Tablets,144
2020-07,Smartwatches,234
2020-08,Smartphones,788
2020-08,Laptops,498
2020-08,Headphones,571
2020-08,Tablets,142
2020-08,Smartwatches,258
2020-09,Smartphones,834
2020-09,Laptops,477
2020-09,Headphones,530
2020-09,Tablets,168
2020-09,Smartwatches,235
2020-10,Smartphones,845
2020-10,Laptops,344
2020-10,Headphones,566
2020-10,Tablets,144
2020-10,Smartwatches,244
2020-11,Smartphones,820
2020-11,Laptops,510
2020-11,Headphones,699
2020-11,Tablets,180
2020-11,Smartwatches,267
2020-12,Smartphones,962
2020-12,Laptops,498
2020-12,Headphones,722
2020-12,Tablets,190
2020-12,Smartwatches,258
2021-01,Smartphones,817
2021-01,Laptops,331
2021-01,Headphones,568
2021-01,Tablets,144
2021-01,Smartwatches,217
2021-02,Smartphones,840
2021-02,Laptops,416
2021-02,Headphones,600
2021-02,Tablets,140
2021-02,Smartwatches,246
2021-03,Smartphones,819
2021-03,Laptops,458
2021-03,Headphones,626
2021-03,Tablets,161
2021-03,Smartwatches,244
2021-04,Smartphones,775
2021-04,Laptops,400
2021-04,Headphones,605
2021-04,Tablets,167
2021-04,Smartwatches,251
2021-05,Smartphones,829
2021-05,Laptops,402
2021-05,Headphones,594
2021-05,Tablets,154
2021-05,Smartwatches,254
2021-06,Smartphones,831
2021-06,Laptops,417
2021-06,Headphones,539
2021-06,Tablets,196
2021-06,Smartwatches,249
2021-07,Smartphones,801
2021-07,Laptops,403
2021-07,Headphones,592
2021-07,Tablets,164
2021-07,Smartwatches,216
2021-08,Smartphones,758
2021-08,Laptops,469
2021-08,Headphones,629
2021-08,Tablets,157
2021-08,Smartwatches,229
2021-09,Smartphones,859
2021-09,Laptops,466
2021-09,Headphones,558
2021-09,Tablets,203
2021-09,Smartwatches,253
2021-10,Smartphones,695
2021-10,Laptops,394
2021-10,Headphones,611
2021-10,Tablets,147
2021-10,Smartwatches,244
2021-11,Smartphones,879
2021-11,Laptops,510
2021-11,Headphones,724
2021-11,Tablets,172
2021-11,Smartwatches,300
2021-12,Smartphones,997
2021-12,Laptops,496
2021-12,Headphones,746
2021-12,Tablets,185
2021-12,Smartwatches,320
2022-01,Smartphones,859
2022-01,Laptops,428
2022-01,Headphones,585
2022-01,Tablets,178
2022-01,Smartwatches,233
2022-02,Smartphones,728
2022-02,Laptops,413
2022-02,Headphones,605
2022-02,Tablets,153
2022-02,Smartwatches,272
2022-03,Smartphones,861
2022-03,Laptops,395
2022-03,Headphones,584
2022-03,Tablets,160
2022-03,Smartwatches,280
2022-04,Smartphones,814
2022-04,Laptops,431
2022-04,Headphones,565
2022-04,Tablets,195
2022-04,Smartwatches,250
2022-05,Smartphones,824
2022-05,Laptops,425
2022-05,Headphones,611
2022-05,Tablets,167
2022-05,Smartwatches,265
2022-06,Smartphones,760
2022-06,Laptops,419
2022-06,Headphones,591
2022-06,Tablets,132
2022-06,Smartwatches,230
2022-07,Smartphones,818
2022-07,Laptops,414
2022-07,Headphones,628
2022-07,Tablets,173
2022-07,Smartwatches,238
2022-08,Smartphones,854
2022-08,Laptops,459
2022-08,Headphones,574
2022-08,Tablets,178
2022-08,Smartwatches,254
2022-09,Smartphones,779
2022-09,Laptops,512
2022-09,Headphones,654
2022-09,Tablets,205
2022-09,Smartwatches,256
2022-10,Smartphones,880
2022-10,Laptops,432
2022-10,Headphones,614
2022-10,Tablets,178
2022-10,Smartwatches,257
2022-11,Smartphones,1107
2022-11,Laptops,455
2022-11,Headphones,785
2022-11,Tablets,173
2022-11,Smartwatches,310
2022-12,Smartphones,1042
2022-12,Laptops,509
2022-12,Headphones,684
2022-12,Tablets,175
2022-12,Smartwatches,334
2023-01,Smartphones,960
2023-01,Laptops,460
2023-01,Headphones,627
2023-01,Tablets,188
2023-01,Smartwatches,244
2023-02,Smartphones,898
2023-02,Laptops,435
2023-02,Headphones,587
2023-02,Tablets,173
2023-02,Smartwatches,268
2023-03,Smartphones,921
2023-03,Laptops,473
2023-03,Headphones,651
2023-03,Tablets,159
2023-03,Smartwatches,243
2023-04,Smartphones,831
2023-04,Laptops,418
2023-04,Headphones,600
2023-04,Tablets,182
2023-04,Smartwatches,236
2023-05,Smartphones,820
2023-05,Laptops,393
2023-05,Headphones,684
2023-05,Tablets,168
2023-05,Smartwatches,288
2023-06,Smartphones,991
2023-06,Laptops,451
2023-06,Headphones,626
2023-06,Tablets,163
