CandidateID,YearsExperience,EducationLevel,SkillScore,Certifications,ShouldHire
65,3,Master’s,81.82,0,0
66,18,Bachelor’s,66.9,3,1
67,4,High School,81.24,0,1
68,9,Master’s,96.43,3,1
69,2,Master’s,66.75,0,0
70,9,Master’s,71.79,0,1
71,2,Master’s,86.54,2,1
72,10,Master’s,70.23,0,1
73,6,Master’s,74.81,0,1
74,3,Master’s,64.97,2,1
75,8,PhD,60.54,2,1
76,14,High School,61.56,2,1
77,2,PhD,97.76,1,1
78,10,Bachelor’s,74.06,1,1
79,17,Bachelor’s,66.92,0,1
80,3,Bachelor’s,62.63,0,0
81,15,High School,63.55,1,1
82,2,Master’s,58.99,2,1
83,6,High School,71.42,0,1
84,6,PhD,85.37,0,1
85,5,Master’s,68.06,0,1
86,5,Bachelor’s,71.1,1,1
87,16,Master’s,71.87,0,1
88,10,Master’s,59.01,1,0
89,1,Bachelor’s,82.75,0,1
90,20,Bachelor’s,69.08,0,0
91,9,Bachelor’s,72.03,1,1
92,2,Master’s,75.5,0,0
93,8,Bachelor’s,89.06,1,1
94,5,Bachelor’s,72.28,0,1
95,4,Bachelor’s,51.81,1,0
96,2,High School,79.15,1,0
97,2,Master’s,79.68,1,0
98,6,Bachelor’s,70.15,0,0
99,0,Bachelor’s,57.82,0,0
100,10,High School,58.4,0,0
101,5,Bachelor’s,70.24,2,1
102,10,Bachelor’s,73.16,1,0
103,2,Master’s,100.0,0,1
104,0,Master’s,86.2,0,1
105,10,Bachelor’s,86.87,1,1
106,5,Bachelor’s,78.82,1,1
107,0,Bachelor’s,72.26,0,0
108,0,Bachelor’s,78.4,0,0
109,3,Master’s,76.74,2,0
110,17,Master’s,84.08,2,1
111,1,Bachelor’s,63.37,0,0
112,0,Bachelor’s,75.71,1,0
113,5,High School,97.84,0,1
114,1,PhD,58.89,0,0
115,4,High School,69.28,1,0
116,4,Master’s,64.76,3,1
117,5,Bachelor’s,76.68,1,0
118,7,Master’s,73.11,0,1
119,4,Bachelor’s,77.42,0,0
120,10,Master’s,77.43,1,1
121,0,Bachelor’s,67.61,1,0
122,7,Bachelor’s,78.23,0,1
123,8,Master’s,81.33,2,1
124,0,Master’s,97.71,1,1
125,1,Master’s,71.52,2,1
126,8,Bachelor’s,78.29,1,1
127,3,Master’s,75.27,1,0
128,3,High School,68.65,2,0
129,1,Master’s,77.8,1,0
130,3,Bachelor’s,58.75,0,0
131,9,Master’s,77.5,1,1
132,5,Master’s,63.6,0,1
133,13,High School,95.39,0,0
134,3,Master’s,80.24,1,1
135,1,Master’s,62.1,1,0
136,3,Master’s,62.05,0,0
137,4,Master’s,85.8,1,0
138,5,PhD,56.55,0,1
139,4,High School,59.4,0,0
140,10,Bachelor’s,58.82,0,0
141,2,High School,67.45,1,0
142,5,Master’s,90.04,0,1
143,2,Bachelor’s,78.33,0,1
144,1,Master’s,61.73,0,0
145,2,Bachelor’s,52.91,1,0
146,1,Master’s,85.1,4,1
147,8,Master’s,72.24,0,0
148,5,Bachelor’s,59.42,0,1
149,3,Master’s,77.27,0,0
150,3,Master’s,82.48,0,1
151,4,Bachelor’s,79.72,1,0
152,5,Master’s,74.69,1,1
153,5,Master’s,75.18,0,1
154,1,Bachelor’s,73.48,2,0
155,4,Bachelor’s,65.31,0,0
156,15,Master’s,80.27,0,1
157,1,Master’s,56.59,1,1
158,2,High School,57.2,0,0
159,2,Bachelor’s,83.41,0,1
160,5,High School,61.16,0,1
161,2,Bachelor’s,69.95,1,0
162,9,Bachelor’s,63.41,0,1
163,6,Bachelor’s,79.86,3,1
164,5,High School,64.06,1,1
165,9,Master’s,83.38,4,1
166,7,PhD,88.68,2,0
167,5,High School,78.18,0,1
168,1,Bachelor’s,71.34,1,0
169,2,Bachelor’s,55.95,0,1
170,6,Master’s,80.01,0,1
171,4,Bachelor’s,71.45,0,0
172,2,Master’s,92.14,0,1
173,2,High School,95.98,0,1
174,3,Master’s,68.5,0,0
175,5,Master’s,81.67,0,1
176,0,Bachelor’s,86.14,0,1
177,9,High School,79.84,2,1
178,5,Master’s,72.86,0,1
179,10,Bachelor’s,54.3,0,1
180,2,Master’s,75.74,2,1
181,0,Master’s,89.21,1,1
182,10,Bachelor’s,64.29,1,0
183,9,High School,66.37,0,1
184,19,Master’s,80.84,1,1
185,3,Bachelor’s,78.84,0,1
186,4,Master’s,65.49,5,0
187,10,Bachelor’s,65.11,1,1
188,5,Bachelor’s,80.44,2,1
189,0,Bachelor’s,73.18,0,0
190,18,High School,63.7,2,1
191,5,Master’s,66.89,0,0
192,0,Bachelor’s,78.62,0,0
193,2,High School,81.86,0,1
194,10,Master’s,72.64,1,0
195,0,Master’s,72.66,0,1
196,10,PhD,93.47,3,1
197,4,Bachelor’s,81.37,0,0
198,1,PhD,70.43,0,0
199,4,Bachelor’s,81.22,0,1
200,3,Master’s,88.11,2,1
201,12,Bachelor’s,69.54,2,1
202,0,Bachelor’s,72.43,0,0
203,3,High School,73.43,1,0
204,7,Master’s,79.57,0,1
205,13,Master’s,64.69,0,1
206,5,Bachelor’s,69.5,0,1
207,1,Master’s,70.54,0,1
208,5,PhD,56.1,1,1
209,8,Master’s,74.76,0,1
210,15,Bachelor’s,64.29,1,1
211,3,High School,80.23,0,1
212,1,PhD,75.92,0,0
213,6,High School,72.76,1,0
214,16,Bachelor’s,62.01,0,1
215,13,Bachelor’s,71.15,2,1
216,5,High School,79.5,0,1
217,3,High School,66.8,3,0
218,4,Bachelor’s,74.24,0,0
219,10,Bachelor’s,65.1,0,1
220,5,High School,100.0,0,1
221,6,Master’s,56.36,0,1
222,0,Bachelor’s,60.98,1,1
223,3,Master’s,73.27,0,0
224,12,Bachelor’s,78.84,1,1
225,3,Master’s,69.5,3,1
226,9,Bachelor’s,63.28,0,1
227,0,Bachelor’s,72.68,0,0
228,9,Bachelor’s,62.86,1,1
229,20,Master’s,55.81,0,1
230,4,Bachelor’s,63.42,1,0
231,3,Bachelor’s,53.63,1,0
232,8,Master’s,87.06,1,1
233,5,High School,77.28,0,1
234,4,High School,70.52,0,0
235,8,PhD,76.39,2,1
236,1,Bachelor’s,74.53,1,0
237,3,Master’s,81.13,3,0
238,10,Master’s,64.47,0,1
239,6,Bachelor’s,71.84,1,1
240,8,Bachelor’s,71.67,0,1
241,4,Bachelor’s,60.1,1,0
242,5,Master’s,70.6,1,1
243,8,Bachelor’s,79.01,2,1
244,5,High School,68.61,1,0
245,3,Bachelor’s,49.8,1,0
246,2,Bachelor’s,80.71,0,1
247,6,Master’s,100.0,3,1
248,19,High School,70.33,0,1
249,3,Bachelor’s,76.8,1,0
250,2,High School,75.75,1,0
251,2,Bachelor’s,69.03,0,0
252,9,Bachelor’s,55.9,0,1
253,1,Bachelor’s,60.1,0,0
254,3,High School,79.41,1,0
255,1,High School,68.56,0,0
256,4,Bachelor’s,77.96,3,0
257,10,Bachelor’s,75.79,0,1
258,17,Bachelor’s,81.61,0,1
259,2,Master’s,85.29,1,1
260,4,High School,75.7,1,0
261,0,High School,59.37,0,0
262,4,Bachelor’s,62.6,0,0
263,4,Bachelor’s,51.32,1,1
264,5,High School,50.26,1,1
265,5,Bachelor’s,81.31,0,1
266,3,Bachelor’s,87.16,2,1
267,4,Bachelor’s,86.9,0,1
268,1,PhD,83.71,1,1
269,10,Bachelor’s,61.75,3,1
270,6,High School,71.61,0,1
271,3,PhD,51.64,0,0
272,3,Master’s,70.01,1,0
273,5,Bachelor’s,74.25,1,1
274,4,High School,73.36,0,0
275,4,Bachelor’s,70.6,2,0
276,11,Bachelor’s,53.89,2,1
277,14,Bachelor’s,44.85,1,1
278,6,Master’s,75.28,2,1
279,0,Bachelor’s,77.12,1,0
280,5,High School,71.2,2,1
281,2,Bachelor’s,66.28,0,1
282,3,High School,60.08,1,0
283,5,Master’s,82.26,0,0
284,7,Bachelor’s,65.41,1,1
285,5,PhD,76.49,4,1
286,0,Master’s,71.63,0,0
287,5,Bachelor’s,54.66,1,1
288,4,Master’s,84.12,0,1
289,3,Bachelor’s,65.94,3,0
290,4,High School,58.38,0,0
291,4,Bachelor’s,69.85,0,0
292,3,Bachelor’s,75.79,0,0
293,8,Bachelor’s,74.43,2,1
294,10,PhD,87.06,1,1
295,8,High School,73.25,0,1
296,6,Bachelor’s,68.33,0,1
297,9,High School,70.89,1,0
298,2,Bachelor’s,87.22,2,1
299,3,Master’s,61.53,0,0
300,8,Bachelor’s,60.28,0,1
301,6,High School,79.96,1,1
302,0,Bachelor’s,62.43,0,1
303,16,High School,84.56,1,1
304,7,High School,87.99,0,1
305,2,Bachelor’s,58.86,0,0
306,7,Master’s,71.31,1,1
307,5,Bachelor’s,91.29,0,1
308,10,Master’s,81.89,1,1
309,2,Bachelor’s,87.3,0,1
310,1,Bachelor’s,73.0,1,0
311,7,Master’s,81.6,0,1
312,3,Bachelor’s,84.35,1,1
313,0,Master’s,71.45,0,0
314,5,Bachelor’s,76.1,1,1
315,0,Bachelor’s,86.39,2,1
316,10,Bachelor’s,96.25,3,1
317,2,Master’s,77.32,0,0
318,6,Master’s,41.48,1,1
319,4,High School,66.06,0,0
320,9,Bachelor’s,65.88,0,1
321,3,High School,95.12,1,0
322,5,High School,66.61,1,1
323,14,Master’s,47.26,0,1
324,1,Bachelor’s,78.01,0,0
325,5,Master’s,64.76,1,1
326,5,PhD,93.54,1,1
327,14,High School,55.89,0,0
328,9,Bachelor’s,58.26,2,1
329,2,Bachelor’s,75.14,0,0
330,3,High School,64.67,2,0
331,8,Master’s,78.55,0,1
332,8,High School,59.02,0,0
333,2,Bachelor’s,59.31,2,0
334,3,High School,50.63,0,0
335,3,Bachelor’s,68.31,0,0
336,4,High School,71.11,0,0
337,6,PhD,79.46,0,1
338,4,Bachelor’s,62.97,0,0
339,3,Bachelor’s,72.64,1,0
340,3,Master’s,69.1,0,0
341,5,Bachelor’s,67.63,0,1
342,1,Bachelor’s,81.5,0,1
343,5,Master’s,68.53,1,1
344,3,Bachelor’s,69.41,1,0
345,4,Bachelor’s,65.03,2,0
346,5,High School,63.11,0,1
347,10,Bachelor’s,64.82,0,1
348,4,PhD,87.08,0,1
349,3,Master’s,65.57,1,0
350,6,High School,58.76,1,1
351,2,Bachelor’s,95.44,0,1
352,7,Bachelor’s,71.83,1,1
353,5,Master’s,80.21,0,1
354,9,Bachelor’s,70.06,5,1
355,7,Bachelor’s,64.98,0,1
356,0,Master’s,80.59,1,1
357,2,Master’s,61.72,0,0
358,10,High School,80.83,1,1
359,4,Bachelor’s,72.49,0,0
360,5,Master’s,79.21,2,1
361,0,High School,58.21,1,1
362,0,Bachelor’s,81.88,5,0
363,2,Bachelor’s,50.64,0,1
364,5,Master’s,76.26,2,1
365,8,Bachelor’s,74.1,1,1
366,5,Bachelor’s,67.59,2,1
367,5,Master’s,71.22,0,0
368,15,Master’s,74.84,0,1
369,5,Master’s,75.39,1,1
370,2,Master’s,76.54,0,0
371,0,Bachelor’s,69.81,0,0
372,2,Master’s,71.97,1,1
373,6,Bachelor’s,79.02,0,0
374,0,Bachelor’s,72.14,0,0
375,9,Bachelor’s,60.73,0,1
376,5,High School,72.38,3,0
377,8,Master’s,63.8,0,1
378,4,Bachelor’s,68.9,1,0
379,3,High School,67.43,1,0
380,5,Bachelor’s,45.97,1,0
381,0,High School,78.07,0,0
382,4,Bachelor’s,72.06,0,0
383,0,Bachelor’s,66.91,2,0
384,2,High School,62.48,0,0
385,0,High School,71.04,2,0
386,7,Bachelor’s,48.38,2,1
387,2,Bachelor’s,72.67,1,0
388,8,Master’s,80.09,0,1
389,4,Master’s,83.19,2,1
390,3,Bachelor’s,57.95,2,0
391,0,Master’s,87.26,0,1
392,1,High School,81.57,0,1
393,5,High School,58.56,0,1
394,0,High School,71.09,0,0
395,5,Master’s,84.69,1,1
396,5,Bachelor’s,74.27,1,1
397,7,Bachelor’s,84.96,0,1
398,2,Bachelor’s,74.57,1,0
399,3,Bachelor’s,60.36,0,0
400,7,Bachelor’s,65.7,1,1
401,4,Bachelor’s,72.72,1,0
402,1,Bachelor’s,81.58,0,1
403,13,High School,52.33,0,1
404,1,Master’s,60.49,0,0
405,5,Bachelor’s,54.6,0,1
406,0,Bachelor’s,55.14,0,0
407,7,Bachelor’s,62.12,0,1
408,3,Master’s,68.79,1,0
409,4,Bachelor’s,67.95,0,0
410,10,Bachelor’s,93.34,1,1
411,3,Master’s,80.24,0,1
412,5,Bachelor’s,72.71,2,1
413,8,High School,66.38,0,1
414,19,PhD,94.68,0,1
415,1,Bachelor’s,96.74,0,1
416,12,Bachelor’s,79.57,2,1
417,2,Bachelor’s,82.81,0,1
418,4,Bachelor’s,73.82,2,0
419,5,Bachelor’s,77.23,1,1
420,2,Bachelor’s,61.38,0,0
421,1,Bachelor’s,72.12,1,0
422,1,Master’s,92.26,0,0
423,5,Bachelor’s,71.81,1,1
424,1,High School,71.45,0,0
425,2,Bachelor’s,80.97,1,0
426,5,Bachelor’s,88.8,0,1
427,10,High School,68.39,0,1
428,5,High School,62.9,0,0
429,0,Bachelor’s,65.94,1,0
430,10,Bachelor’s,56.17,2,1
431,6,Bachelor’s,78.43,2,1
432,4,Master’s,80.59,1,1
433,1,High School,64.76,1,0
434,1,Master’s,76.52,1,0
435,6,Bachelor’s,74.8,0,1
436,7,Bachelor’s,68.26,2,1
437,7,Bachelor’s,67.74,3,0
438,6,Bachelor’s,77.56,2,1
439,9,Master’s,76.92,1,1
440,10,Bachelor’s,70.68,0,1
441,10,Bachelor’s,70.01,0,1
442,5,Master’s,81.01,0,1
443,4,Master’s,71.03,1,0
444,5,Master’s,79.83,1,0
445,3,Master’s,85.75,0,1
446,3,High School,56.31,0,0
447,10,Bachelor’s,77.41,0,1
448,5,Master’s,69.87,2,0
449,10,Bachelor’s,69.23,0,1
450,5,Master’s,75.15,0,1
451,3,PhD,81.73,0,1
452,4,Bachelor’s,75.92,1,0
453,8,High School,79.89,3,1
454,2,Master’s,61.49,1,0
455,2,Bachelor’s,68.97,1,0
456,1,PhD,58.57,0,0
457,7,PhD,72.94,0,1
458,1,Master’s,68.5,0,0
459,17,Bachelor’s,85.81,0,1
460,17,Master’s,64.85,1,0
461,6,High School,59.11,3,1
462,4,Master’s,73.44,3,1
463,11,Bachelor’s,68.3,1,1
464,4,High School,56.86,2,0
465,7,Bachelor’s,62.38,1,1
466,2,PhD,78.1,1,0
467,2,High School,61.78,1,0
468,11,Master’s,88.17,0,1
469,10,Bachelor’s,60.44,1,1
470,0,Master’s,79.72,1,0
471,2,High School,65.1,1,0
472,2,High School,74.69,0,0
473,0,High School,100.0,0,1
474,5,Master’s,60.37,3,1
475,1,PhD,87.45,0,1
476,19,Master’s,55.84,0,1
477,0,Bachelor’s,59.15,0,0
478,4,Bachelor’s,77.08,1,0
479,1,Master’s,89.11,0,1
480,4,Bachelor’s,65.95,0,0
481,5,High School,43.96,2,1
482,1,Master’s,76.99,0,0
483,0,Bachelor’s,64.27,0,0
484,5,Bachelor’s,53.33,0,1
485,10,High School,79.95,0,1
486,2,Bachelor’s,68.37,1,0
487,1,Master’s,69.29,0,0
488,5,Bachelor’s,77.34,0,1
489,0,Bachelor’s,84.97,0,1
490,0,PhD,69.95,0,0
491,8,Bachelor’s,71.72,1,1
492,0,Master’s,64.41,2,1
493,7,Master’s,70.82,0,0
494,5,Bachelor’s,79.42,3,1
495,8,Bachelor’s,86.34,0,1
496,3,Bachelor’s,48.57,0,0
497,1,Bachelor’s,70.54,1,0
498,4,Bachelor’s,99.23,1,1
499,5,Bachelor’s,60.04,2,1
500,1,Master’s,72.2,1,0
501,2,Master’s,75.27,0,0
502,3,Bachelor’s,71.02,0,0
503,5,Bachelor’s,72.65,0,1
504,0,Bachelor’s,79.48,0,1
505,3,PhD,82.01,0,1
506,9,High School,78.55,0,1
507,0,High School,74.05,0,0
508,18,Master’s,74.58,1,1
509,3,High School,73.91,1,0
510,5,PhD,99.54,1,0
511,5,High School,87.66,0,0
512,4,High School,63.72,3,0
513,5,Bachelor’s,77.78,0,0
514,2,High School,95.24,0,1
515,9,Bachelor’s,86.64,1,1
516,3,Master’s,82.25,1,1
517,0,Master’s,80.65,3,1
518,5,Bachelor’s,59.8,2,0
519,8,Bachelor’s,87.5,1,1
520,5,Master’s,88.81,0,1
521,0,Bachelor’s,60.84,0,0
522,6,Bachelor’s,61.68,1,1
523,1,Master’s,61.0,1,0
524,10,Bachelor’s,72.07,1,1
525,2,Bachelor’s,62.14,2,0
526,9,Bachelor’s,56.19,2,1
527,8,Bachelor’s,73.83,0,1
528,6,High School,65.21,0,1
529,5,High School,63.19,1,0
530,5,High School,60.98,0,0
531,4,Master’s,83.09,0,1
532,3,Bachelor’s,75.46,1,0
533,1,Master’s,68.32,2,1
534,1,Bachelor’s,80.06,0,1
535,4,Bachelor’s,71.75,0,0
536,5,Bachelor’s,99.85,0,1
537,0,High School,60.12,1,0
538,0,Master’s,80.35,2,1
539,10,High School,62.9,0,1
540,3,Bachelor’s,57.41,0,0
541,5,Bachelor’s,71.13,1,1
542,2,Bachelor’s,74.45,0,0
543,1,Bachelor’s,73.28,1,0
544,9,Bachelor’s,79.24,0,1
545,4,Master’s,85.92,3,1
546,7,High School,77.16,0,1
547,6,Bachelor’s,82.44,2,1
548,2,Bachelor’s,71.32,1,0
549,5,Master’s,67.0,0,1
550,11,High School,69.36,2,1
551,3,Master’s,78.61,0,0
552,13,PhD,75.34,1,1
553,5,Master’s,90.46,0,1
554,2,Master’s,83.11,0,1
555,5,High School,75.99,1,0
556,6,Bachelor’s,76.68,1,1
557,8,High School,80.74,1,1
558,3,Bachelor’s,85.26,0,1
559,9,Bachelor’s,71.91,1,1
560,4,Master’s,84.41,0,1
561,4,Bachelor’s,78.51,1,0
562,1,High School,68.43,0,0
563,10,Bachelor’s,59.08,2,1
564,4,Master’s,83.9,0,1
565,10,High School,76.14,0,1
566,6,Bachelor’s,75.28,0,1
567,5,High School,66.67,1,0
568,10,Bachelor’s,74.92,0,1
569,9,Master’s,70.31,1,0
570,3,Master’s,81.45,2,1
571,7,PhD,64.83,0,1
572,7,High School,67.56,0,1
573,5,Master’s,64.68,0,1
574,2,Bachelor’s,81.13,2,1
575,4,Bachelor’s,78.84,0,0
576,2,Master’s,86.7,0,1
577,2,Bachelor’s,81.41,0,1
578,2,Master’s,74.82,0,0
579,2,High School,89.63,1,1
580,2,Master’s,75.04,2,1
581,5,Bachelor’s,79.53,0,0
582,7,Bachelor’s,74.74,2,1
583,12,Bachelor’s,81.84,1,0
584,8,Bachelor’s,73.0,0,0
585,5,Master’s,61.12,1,1
586,2,Master’s,81.36,0,1
587,0,PhD,77.89,0,0
588,3,Bachelor’s,70.75,0,0
589,6,Master’s,72.94,0,1
590,3,High School,62.53,2,1
591,3,PhD,57.98,1,0
592,5,High School,65.37,2,1
593,4,High School,75.95,0,0
594,10,Bachelor’s,64.43,0,1
595,9,Bachelor’s,62.94,0,0
596,0,Bachelor’s,80.08,4,1
597,9,Bachelor’s,87.39,1,1
598,6,Bachelor’s,66.79,1,1
599,18,Master’s,75.17,0,1
600,5,Master’s,71.48,0,1
601,3,Bachelor’s,79.25,2,0
602,4,Bachelor’s,70.32,0,0
603,0,Master’s,68.3,2,1
604,7,High School,65.99,2,1
605,17,Bachelor’s,82.46,0,1
606,8,Bachelor’s,64.38,2,1
607,0,High School,71.35,1,0
608,9,Master’s,58.32,1,1
609,10,Bachelor’s,56.18,0,1
610,16,Bachelor’s,72.5,0,1
611,16,High School,77.42,1,1
612,5,PhD,84.99,1,1
613,9,Bachelor’s,57.82,1,1
614,9,High School,76.54,0,1
615,5,PhD,81.49,0,1
616,4,High School,77.57,1,0
617,0,Bachelor’s,89.12,0,1
618,10,Bachelor’s,78.64,0,1
619,0,Bachelor’s,53.27,0,0
620,3,Bachelor’s,63.43,1,0
621,5,Master’s,78.31,0,1
622,13,Bachelor’s,75.33,1,1
623,2,Bachelor’s,63.96,0,0
624,0,Master’s,72.7,0,0
625,20,High School,73.24,0,1
626,1,High School,58.52,0,1
627,13,Master’s,83.65,2,1
628,2,Bachelor’s,71.67,1,0
629,1,Master’s,72.3,1,0
630,5,Master’s,80.94,1,1
631,9,Master’s,56.79,0,1
632,5,Bachelor’s,72.7,1,1
633,2,Bachelor’s,78.52,2,0
634,2,Bachelor’s,82.51,1,1
635,2,Master’s,76.77,0,0
636,14,High School,60.88,1,1
637,5,Master’s,79.35,1,1
638,4,Master’s,71.77,4,1
639,14,Bachelor’s,70.23,0,1
640,0,Bachelor’s,65.32,0,0
641,10,Master’s,70.12,0,1
642,5,Bachelor’s,74.2,0,1
643,4,Bachelor’s,77.51,0,0
644,4,Master’s,81.98,1,1
645,4,Bachelor’s,77.65,1,0
646,16,Bachelor’s,57.59,0,1
647,12,High School,77.15,0,1
648,9,Bachelor’s,49.5,2,1
649,3,Bachelor’s,81.57,0,1
650,2,High School,82.87,2,1
651,4,Master’s,72.15,3,1
652,1,Master’s,68.69,2,1
653,5,Bachelor’s,67.28,0,1
654,1,Master’s,69.0,0,0
655,1,Bachelor’s,72.54,1,0
656,1,Bachelor’s,66.28,0,0
657,2,Bachelor’s,75.38,1,0
658,2,Bachelor’s,78.31,1,0
659,13,Bachelor’s,61.66,1,1
660,5,Bachelor’s,91.82,0,1
661,2,Master’s,73.95,2,1
662,0,Master’s,47.97,1,0
663,0,High School,65.4,0,0
664,10,PhD,65.47,0,1
665,8,High School,68.42,2,1
666,18,Master’s,74.74,0,0
667,4,Bachelor’s,94.29,1,1
668,3,Bachelor’s,83.0,2,1
669,3,Master’s,55.15,2,0
670,1,Bachelor’s,63.9,2,0
671,8,Bachelor’s,55.42,0,1
672,13,Master’s,77.71,0,1
673,1,High School,69.03,1,0
674,9,Bachelor’s,65.84,0,1
675,2,Bachelor’s,77.61,2,0
676,6,High School,58.54,1,1
677,3,Bachelor’s,78.93,2,0
678,1,Bachelor’s,88.3,0,1
679,10,High School,53.3,0,0
680,6,Bachelor’s,64.68,0,1
681,3,Master’s,79.6,1,1
682,1,Bachelor’s,83.09,2,1
683,5,Master’s,81.84,0,1
684,9,Bachelor’s,69.45,0,1
685,7,Master’s,72.14,2,1
686,0,Bachelor’s,48.85,2,0
687,1,Bachelor’s,57.2,0,0
688,14,Bachelor’s,71.89,1,1
689,5,Master’s,77.64,2,1
690,9,Bachelor’s,66.73,1,1
691,18,Bachelor’s,73.74,1,1
692,7,Master’s,86.02,0,1
693,5,Master’s,86.65,1,1
694,3,Master’s,62.54,0,0
695,2,Bachelor’s,78.81,0,1
696,5,Bachelor’s,77.21,0,0
697,9,PhD,81.08,0,1
698,4,PhD,100.0,0,1
699,3,High School,84.19,2,1
700,0,Bachelor’s,45.12,0,0
701,3,Bachelor’s,62.08,1,0
702,3,Bachelor’s,66.01,0,0
703,2,Master’s,63.18,0,0
704,4,Master’s,79.49,0,0
705,1,High School,95.55,1,0
706,2,Bachelor’s,63.58,1,0
707,7,Master’s,57.44,0,1
708,8,Master’s,76.79,2,1
709,7,Master’s,68.01,2,1
710,5,PhD,86.62,2,1
711,13,Bachelor’s,67.16,0,1
712,1,Bachelor’s,85.91,3,1
713,2,High School,60.22,0,0
714,10,Master’s,74.98,0,1
715,10,Bachelor’s,71.73,3,1
716,4,High School,75.11,2,0
717,3,High School,61.6,0,0
718,0,High School,76.76,0,0
719,3,High School,78.62,0,0
720,2,Bachelor’s,71.39,1,1
721,19,Bachelor’s,55.67,0,1
722,13,Master’s,75.12,0,1
723,1,PhD,65.17,1,0
724,1,Bachelor’s,53.81,2,0
725,4,Master’s,59.54,2,0
726,2,High School,81.53,0,1
727,5,High School,68.23,1,1
728,6,Bachelor’s,56.44,0,1
729,5,Bachelor’s,69.43,0,0
730,5,High School,77.34,0,0
731,1,High School,71.46,1,0
732,1,High School,63.86,0,0
733,3,Bachelor’s,53.35,2,0
734,6,High School,84.2,1,0
735,4,PhD,68.52,0,0
736,6,High School,62.02,1,1
737,2,Bachelor’s,49.35,2,0
738,10,Bachelor’s,50.51,0,1
739,14,Master’s,71.66,1,0
740,0,High School,59.88,0,0
741,3,Bachelor’s,75.29,0,0
742,3,High School,70.57,1,0
743,1,Bachelor’s,66.77,1,0
744,9,Bachelor’s,84.47,3,1
745,0,Bachelor’s,64.03,1,0
746,2,Bachelor’s,80.78,0,1
747,12,High School,82.8,0,1
748,12,Bachelor’s,47.83,0,1
749,14,Bachelor’s,67.56,0,1
750,7,Bachelor’s,59.99,0,1
751,0,Bachelor’s,63.84,0,1
752,7,Bachelor’s,59.96,1,1
753,0,Master’s,62.01,1,0
754,3,Bachelor’s,66.26,0,0
755,0,Bachelor’s,78.36,0,1
756,1,Master’s,73.27,0,0
757,1,Master’s,66.11,0,0
758,0,Master’s,71.72,1,0
759,2,Master’s,59.66,0,0
760,3,Master’s,83.39,0,1
761,4,Bachelor’s,62.75,0,0
762,3,Bachelor’s,72.0,0,0
763,8,Bachelor’s,80.68,2,0
764,3,Master’s,81.04,1,1
765,9,Master’s,81.49,0,1
766,9,High School,66.36,2,0
767,4,Bachelor’s,77.82,1,0
768,4,Master’s,67.09,0,0
769,5,High School,65.98,0,1
770,3,Bachelor’s,68.45,1,0
771,5,Bachelor’s,57.56,0,1
772,17,Master’s,91.64,1,1
773,10,High School,68.76,0,0
774,2,Bachelor’s,74.58,0,0
775,9,Master’s,79.08,0,1
776,18,High School,75.51,1,1
777,5,Bachelor’s,73.73,0,1
